Cn,Ch,Zy,Py
00241,般,(一)ㄅㄢ,(一)bān
00242,搬,ㄅㄢ,bān
00243,瘢,ㄅㄢ,bān
00244,螌,ㄅㄢ,bān
00245,斒,ㄅㄢ,bān
00246,頒,ㄅㄢ,bān
00247,坂,ㄅㄢˇ,bǎn
00248,阪,ㄅㄢˇ,bǎn
00249,板,ㄅㄢˇ,bǎn
00250,昄,ㄅㄢˇ,bǎn
00251,版,ㄅㄢˇ,bǎn
00252,粄,ㄅㄢˇ,bǎn
00253,舨,ㄅㄢˇ,bǎn
00254,鈑,ㄅㄢˇ,bǎn
00255,蝂,ㄅㄢˇ,bǎn
00256,闆,ㄅㄢˇ,bǎn
00257,爿,(二)ㄅㄢˋ,(二)bàn
00258,半,ㄅㄢˋ,bàn
00259,伴,ㄅㄢˋ,bàn
00260,拌,(一)ㄅㄢˋ,(一)bàn
00261,絆,ㄅㄢˋ,bàn
00262,扮,ㄅㄢˋ,bàn
00263,魬,ㄅㄢˋ,bàn
00264,辦,ㄅㄢˋ,bàn
00265,瓣,ㄅㄢˋ,bàn
00266,奔,(一)ㄅㄣ,(一)bēn
00267,錛,ㄅㄣ,bēn
00268,賁,(二)ㄅㄣ,(二)bēn
00269,本,ㄅㄣˇ,běn
00270,苯,ㄅㄣˇ,běn
00271,畚,ㄅㄣˇ,běn
00272,坌,ㄅㄣˋ,bèn
00273,奔,(二)ㄅㄣˋ,(二)bèn
00274,逩,ㄅㄣˋ,bèn
00275,笨,ㄅㄣˋ,bèn
00276,邦,ㄅㄤ,bāng
00277,梆,ㄅㄤ,bāng
00278,傍,(三)ㄅㄤ,(三)bāng
00279,幫,ㄅㄤ,bāng
00280,綁,ㄅㄤˇ,bǎng
00281,榜,(一)ㄅㄤˇ,(一)bǎng
00283,牓,ㄅㄤˇ,bǎng
00284,膀,(一)ㄅㄤˇ,(一)bǎng
00285,並,(二)ㄅㄤˋ,(二)bàng
00286,玤,ㄅㄤˋ,bàng
00287,蚌,(一)ㄅㄤˋ,(一)bàng
00288,旁,(二)ㄅㄤˋ,(二)bàng
00289,傍,(一)ㄅㄤˋ,(一)bàng
00290,徬,(二)ㄅㄤˋ,(二)bàng
00290A,蒡,ㄅㄤˋ,bàng
00291,膀,(三)ㄅㄤˋ,(三)bàng
00292,磅,(一)ㄅㄤˋ,(一)bàng
00293,謗,ㄅㄤˋ,bàng
00294,鎊,ㄅㄤˋ,bàng
00295,棓,(二)ㄅㄤˋ,(二)bàng
00296,棒,ㄅㄤˋ,bàng
00297,祊,ㄅㄥ,bēng
00298,崩,ㄅㄥ,bēng
00299,弸,(二)（又音）ㄅㄥ,(二)（又音）bēng
00300,繃,(一)ㄅㄥ,(一)bēng
00301,絣,ㄅㄥ,bēng
00302,甭,ㄅㄥˊ,béng
00303,琫,ㄅㄥˇ,běng
00304,菶,ㄅㄥˇ,běng
00305,繃,(二)ㄅㄥˇ,(二)běng
00306,泵,ㄅㄥˋ,bèng
00307,迸,(一)ㄅㄥˋ,(一)bèng
00308,蚌,(二)（又音）ㄅㄥˋ,(二)（又音）bèng
00309,堋,(一)ㄅㄥˋ,(一)bèng
00310,繃,(三)ㄅㄥˋ,(三)bèng
00311,蹦,ㄅㄥˋ,bèng
00312,榜,(二)ㄅㄥˋ,(二)bèng
00313,磅,(二)ㄅㄥˋ,(二)bèng
00314,屄,ㄅㄧ,bī
00315,偪,(一)ㄅㄧ,(一)bī
00315A,幅,(二)ㄅㄧ,(二)bī
00316,逼,(一)ㄅㄧ,(一)bī
00317,荸,(一)ㄅㄧˊ,(一)bí
00318,鼻,ㄅㄧˊ,bí
00319,匕,ㄅㄧˇ,bǐ
00320,比,(一)ㄅㄧˇ,(一)bǐ
00321,沘,ㄅㄧˇ,bǐ
00322,妣,ㄅㄧˇ,bǐ
00323,秕,ㄅㄧˇ,bǐ
00324,佊,ㄅㄧˇ,bǐ
00325,彼,ㄅㄧˇ,bǐ
00326,咇,(二)ㄅㄧˇ,(二)bǐ
00327,筆,ㄅㄧˇ,bǐ
00328,鄙,(一)ㄅㄧˇ,(一)bǐ
00329,貏,(一)ㄅㄧˇ,(一)bǐ
00330,比,(二)ㄅㄧˋ,(二)bì
00331,庇,ㄅㄧˋ,bì
00332,吡,(一)ㄅㄧˋ,(一)bì
00333,芘,(一)ㄅㄧˋ,(一)bì
00334,狴,ㄅㄧˋ,bì
00335,陛,ㄅㄧˋ,bì
00336,梐,ㄅㄧˋ,bì
00337,蜌,ㄅㄧˋ,bì
00338,蓖,ㄅㄧˋ,bì
00339,篦,ㄅㄧˋ,bì
00340,鎞,(二)ㄅㄧˋ,(二)bì
00341,必,ㄅㄧˋ,bì
00342,泌,(二)（又音）ㄅㄧˋ,(二)（又音）bì
00343,怭,ㄅㄧˋ,bì
00344,邲,ㄅㄧˋ,bì
00345,咇,(三)ㄅㄧˋ,(三)bì
00346,珌,ㄅㄧˋ,bì
00347,柲,ㄅㄧˋ,bì
00348,苾,ㄅㄧˋ,bì
00349,毖,ㄅㄧˋ,bì
00350,祕,(二)（又音）ㄅㄧˋ,(二)（又音）bì
00351,秘,(二)（又音）ㄅㄧˋ,(二)（又音）bì
00352,閟,ㄅㄧˋ,bì
00353,鉍,ㄅㄧˋ,bì
00354,飶,ㄅㄧˋ,bì
00355,馝,ㄅㄧˋ,bì
00356,駜,ㄅㄧˋ,bì
00357,鮅,ㄅㄧˋ,bì
00358,佛,(二)ㄅㄧˋ,(二)bì
00359,拂,(二)ㄅㄧˋ,(二)bì
00360,費,(二)ㄅㄧˋ,(二)bì
00361,鄪,ㄅㄧˋ,bì
00362,畀,ㄅㄧˋ,bì
00363,痹,ㄅㄧˋ,bì
00364,箅,ㄅㄧˋ,bì
00365,襣,ㄅㄧˋ,bì
00366,俾,(一)ㄅㄧˋ,(一)bì
00367,庳,(一)ㄅㄧˋ,(一)bì
00368,埤,(二)ㄅㄧˋ,(二)bì
00369,婢,(一)ㄅㄧˋ,(一)bì
00370,萆,(二)ㄅㄧˋ,(二)bì
00371,痺,ㄅㄧˋ,bì
00372,睥,ㄅㄧˋ,bì
00373,裨,(一)ㄅㄧˋ,(一)bì
00374,綼,ㄅㄧˋ,bì
00375,髀,ㄅㄧˋ,bì
00376,敝,ㄅㄧˋ,bì
00377,弊,ㄅㄧˋ,bì
00378,幣,ㄅㄧˋ,bì
00379,蔽,(一)ㄅㄧˋ,(一)bì
00380,斃,ㄅㄧˋ,bì
00381,鷩,(一)ㄅㄧˋ,(一)bì
00382,閉,ㄅㄧˋ,bì
00383,畢,ㄅㄧˋ,bì
00384,嗶,ㄅㄧˋ,bì
00385,彃,ㄅㄧˋ,bì
00386,蓽,ㄅㄧˋ,bì
00387,篳,ㄅㄧˋ,bì
00388,縪,ㄅㄧˋ,bì
00389,蹕,ㄅㄧˋ,bì
00390,饆,ㄅㄧˋ,bì
00391,韠,ㄅㄧˋ,bì
00392,湢,ㄅㄧˋ,bì
00393,愊,ㄅㄧˋ,bì
00394,揊,ㄅㄧˋ,bì
00395,煏,ㄅㄧˋ,bì
00396,楅,(二)（又音）ㄅㄧˋ,(二)（又音）bì
00397,逼,(二)（又音）ㄅㄧˋ,(二)（又音）bì
00398,腷,ㄅㄧˋ,bì
00399,詖,ㄅㄧˋ,bì
00400,跛,(二)ㄅㄧˋ,(二)bì
00401,髲,ㄅㄧˋ,bì
00402,骳,ㄅㄧˋ,bì
00403,愎,ㄅㄧˋ,bì
00404,賁,(一)ㄅㄧˋ,(一)bì
00405,皕,ㄅㄧˋ,bì
00406,弼,ㄅㄧˋ,bì
00407,辟,(一)ㄅㄧˋ,(一)bì
00408,廦,ㄅㄧˋ,bì
00409,壁,ㄅㄧˋ,bì
00410,嬖,ㄅㄧˋ,bì
00411,薜,(一)ㄅㄧˋ,(一)bì
00412,避,(一)ㄅㄧˋ,(一)bì
00413,臂,(一)ㄅㄧˋ,(一)bì
00414,璧,ㄅㄧˋ,bì
00415,襞,ㄅㄧˋ,bì
00416,繴,ㄅㄧˋ,bì
00417,躄,ㄅㄧˋ,bì
00418,碧,ㄅㄧˋ,bì
00419,鄙,(二)（又音）ㄅㄧˋ,(二)（又音）bì
00420,觱,ㄅㄧˋ,bì
00421,贔,ㄅㄧˋ,bì
00422,憋,ㄅㄧㄝ,biē
00423,鷩,(二)（又音）ㄅㄧㄝ,(二)（又音）biē
00424,鱉,ㄅㄧㄝ,biē
00425,別,ㄅㄧㄝˊ,bié
00426,莂,ㄅㄧㄝˊ,bié
00427,咇,(一)ㄅㄧㄝˊ,(一)bié
00428,蛂,ㄅㄧㄝˊ,bié
00429,襒,ㄅㄧㄝˊ,bié
00430,蹩,ㄅㄧㄝˊ,bié
00431,癟,ㄅㄧㄝˇ,biě
00432,彆,ㄅㄧㄝˋ,biè
00433,杓,(一)ㄅㄧㄠ,(一)biāo
00434,髟,(一)ㄅㄧㄠ,(一)biāo
00435,彪,ㄅㄧㄠ,biāo
00436,颩,(一)ㄅㄧㄠ,(一)biāo
00437,滮,ㄅㄧㄠ,biāo
00438,猋,ㄅㄧㄠ,biāo
00439,飆,ㄅㄧㄠ,biāo
00440,摽,(一)ㄅㄧㄠ,(一)biāo
00441,熛,ㄅㄧㄠ,biāo
00442,標,(一)ㄅㄧㄠ,(一)biāo
00443,蔈,ㄅㄧㄠ,biāo
00444,膘,ㄅㄧㄠ,biāo
00445,瘭,ㄅㄧㄠ,biāo
00446,鏢,ㄅㄧㄠ,biāo
00447,颮,(一)ㄅㄧㄠ,(一)biāo
00448,麃,(一)ㄅㄧㄠ,(一)biāo
00449,儦,ㄅㄧㄠ,biāo
00450,瀌,ㄅㄧㄠ,biāo
00452,臕,ㄅㄧㄠ,biāo
00453,穮,ㄅㄧㄠ,biāo
00454,鑣,ㄅㄧㄠ,biāo
00455,爂,ㄅㄧㄠ,biāo
00456,表,ㄅㄧㄠˇ,biǎo
00457,俵,ㄅㄧㄠˇ,biǎo
00458,婊,ㄅㄧㄠˇ,biǎo
00459,裱,ㄅㄧㄠˇ,biǎo
00460,錶,ㄅㄧㄠˇ,biǎo
00461,褾,ㄅㄧㄠˇ,biǎo
00462,摽,(三)ㄅㄧㄠˋ,(三)biào
00463,鰾,ㄅㄧㄠˋ,biào
00464,砭,ㄅㄧㄢ,biān
00465,猵,(一)ㄅㄧㄢ,(一)biān
00466,楄,(二)（又音）ㄅㄧㄢ,(二)（又音）biān
00467,蝙,(一)ㄅㄧㄢ,(一)biān
00468,編,ㄅㄧㄢ,biān
00469,鯿,ㄅㄧㄢ,biān
00470,箯,ㄅㄧㄢ,biān
00471,鞭,ㄅㄧㄢ,biān
00472,邊,ㄅㄧㄢ,biān
00473,籩,ㄅㄧㄢ,biān
00474,扁,(一)ㄅㄧㄢˇ,(一)biǎn
00475,匾,ㄅㄧㄢˇ,biǎn
00476,惼,ㄅㄧㄢˇ,biǎn
00477,萹,(二)ㄅㄧㄢˇ,(二)biǎn
00478,碥,ㄅㄧㄢˇ,biǎn
00479,稨,ㄅㄧㄢˇ,biǎn
00480,褊,(二)ㄅㄧㄢˇ,(二)biǎn
00481,蝙,(二)（又音）ㄅㄧㄢˇ,(二)（又音）biǎn
00482,窆,ㄅㄧㄢˇ,biǎn
