Cn,Ch,Zy,Py
05526,架,ㄐㄧㄚˋ,jià
05527,駕,ㄐㄧㄚˋ,jià
05528,假,(二)ㄐㄧㄚˋ,(二)jià
05529,嫁,ㄐㄧㄚˋ,jià
05530,稼,ㄐㄧㄚˋ,jià
05531,價,(一)ㄐㄧㄚˋ,(一)jià
05532,皆,ㄐㄧㄝ,jiē
05533,偕,(二)（又音）ㄐㄧㄝ,(二)（又音）jiē
05534,湝,ㄐㄧㄝ,jiē
05535,喈,ㄐㄧㄝ,jiē
05536,階,ㄐㄧㄝ,jiē
05537,蝔,ㄐㄧㄝ,jiē
05538,痎,ㄐㄧㄝ,jiē
05539,接,ㄐㄧㄝ,jiē
05540,椄,ㄐㄧㄝ,jiē
05541,秸,ㄐㄧㄝ,jiē
05542,結,(二)ㄐㄧㄝ,(二)jiē
05543,揭,(一)ㄐㄧㄝ,(一)jiē
05544,街,ㄐㄧㄝ,jiē
05545,嗟,(一)ㄐㄧㄝ,(一)jiē
05546,薢,(二)（又音）ㄐㄧㄝ,(二)（又音）jiē
05547,謯,ㄐㄧㄝ,jiē
05548,癤,(二)（又音）ㄐㄧㄝ,(二)（又音）jiē
05549,卩,ㄐㄧㄝˊ,jié
05550,孑,ㄐㄧㄝˊ,jié
05551,劫,ㄐㄧㄝˊ,jié
05552,劼,ㄐㄧㄝˊ,jié
05553,拮,ㄐㄧㄝˊ,jié
05554,桔,(一)ㄐㄧㄝˊ,(一)jié
05555,袺,ㄐㄧㄝˊ,jié
05556,蛣,ㄐㄧㄝˊ,jié
05557,結,(一)ㄐㄧㄝˊ,(一)jié
05558,詰,ㄐㄧㄝˊ,jié
05559,頡,(二)ㄐㄧㄝˊ,(二)jié
05560,鮚,ㄐㄧㄝˊ,jié
05561,擷,(一)ㄐㄧㄝˊ,(一)jié
05562,杰,ㄐㄧㄝˊ,jié
05563,訐,ㄐㄧㄝˊ,jié
05564,衱,ㄐㄧㄝˊ,jié
05565,倢,ㄐㄧㄝˊ,jié
05566,捷,ㄐㄧㄝˊ,jié
05567,啑,(二)ㄐㄧㄝˊ,(二)jié
05568,婕,ㄐㄧㄝˊ,jié
05569,睫,ㄐㄧㄝˊ,jié
05570,箑,(二)（又音）ㄐㄧㄝˊ,(二)（又音）jié
05571,踕,ㄐㄧㄝˊ,jié
05572,桀,ㄐㄧㄝˊ,jié
05573,傑,ㄐㄧㄝˊ,jié
05574,榤,ㄐㄧㄝˊ,jié
05575,梜,(二)（又音）ㄐㄧㄝˊ,(二)（又音）jié
05576,楖,(一)ㄐㄧㄝˊ,(一)jié
05577,蝍,(二)（又音）ㄐㄧㄝˊ,(二)（又音）jié
05578,節,ㄐㄧㄝˊ,jié
05579,瀄,ㄐㄧㄝˊ,jié
05580,櫛,ㄐㄧㄝˊ,jié
05581,癤,(一)ㄐㄧㄝˊ,(一)jié
05582,偈,(一)ㄐㄧㄝˊ,(一)jié
05583,渴,(二)ㄐㄧㄝˊ,(二)jié
05584,楬,(一)ㄐㄧㄝˊ,(一)jié
05585,竭,ㄐㄧㄝˊ,jié
05586,碣,ㄐㄧㄝˊ,jié
05587,羯,ㄐㄧㄝˊ,jié
05588,袷,(二)ㄐㄧㄝˊ,(二)jié
05589,絜,(一)ㄐㄧㄝˊ,(一)jié
05590,潔,ㄐㄧㄝˊ,jié
05591,楶,ㄐㄧㄝˊ,jié
05592,截,ㄐㄧㄝˊ,jié
05593,姐,ㄐㄧㄝˇ,jiě
05594,姊,(二)（語音）ㄐㄧㄝˇ,(二)（語音）jiě
05595,解,(一)ㄐㄧㄝˇ,(一)jiě
05596,檞,ㄐㄧㄝˇ,jiě
05597,介,ㄐㄧㄝˋ,jiè
05598,价,(一)ㄐㄧㄝˋ,(一)jiè
05599,尬,(二)（又音）ㄐㄧㄝˋ,(二)（又音）jiè
05600,玠,ㄐㄧㄝˋ,jiè
05601,芥,ㄐㄧㄝˋ,jiè
05602,疥,ㄐㄧㄝˋ,jiè
05603,界,ㄐㄧㄝˋ,jiè
05604,蚧,ㄐㄧㄝˋ,jiè
05605,戒,ㄐㄧㄝˋ,jiè
05606,械,(二)（又音）ㄐㄧㄝˋ,(二)（又音）jiè
05607,誡,ㄐㄧㄝˋ,jiè
05608,屆,ㄐㄧㄝˋ,jiè
05609,借,ㄐㄧㄝˋ,jiè
05610,唶,(一)ㄐㄧㄝˋ,(一)jiè
05611,耤,(二)ㄐㄧㄝˋ,(二)jiè
05612,藉,(一)ㄐㄧㄝˋ,(一)jiè
05613,嗟,(三)ㄐㄧㄝˋ,(三)jiè
05614,解,(二)ㄐㄧㄝˋ,(二)jiè
05615,廨,(二)（又音）ㄐㄧㄝˋ,(二)（又音）jiè
05616,犗,ㄐㄧㄝˋ,jiè
05617,褯,ㄐㄧㄝˋ,jiè
05618,交,ㄐㄧㄠ,jiāo
05619,郊,ㄐㄧㄠ,jiāo
05620,咬,(二)ㄐㄧㄠ,(二)jiāo
05621,姣,(二)（又音）ㄐㄧㄠ,(二)（又音）jiāo
05622,茭,ㄐㄧㄠ,jiāo
05623,蛟,ㄐㄧㄠ,jiāo
05624,跤,ㄐㄧㄠ,jiāo
05625,鵁,ㄐㄧㄠ,jiāo
05626,鮫,ㄐㄧㄠ,jiāo
05627,艽,(二)ㄐㄧㄠ,(二)jiāo
05628,教,(二)ㄐㄧㄠ,(二)jiāo
05629,椒,ㄐㄧㄠ,jiāo
05630,喬,(二)ㄐㄧㄠ,(二)jiāo
05631,憍,(一)ㄐㄧㄠ,(一)jiāo
05632,嬌,ㄐㄧㄠ,jiāo
05633,驕,ㄐㄧㄠ,jiāo
05634,焦,ㄐㄧㄠ,jiāo
05635,僬,ㄐㄧㄠ,jiāo
05636,噍,(二)ㄐㄧㄠ,(二)jiāo
05637,嶕,ㄐㄧㄠ,jiāo
05638,燋,ㄐㄧㄠ,jiāo
05639,蕉,(一)ㄐㄧㄠ,(一)jiāo
05640,礁,ㄐㄧㄠ,jiāo
05641,蟭,ㄐㄧㄠ,jiāo
05642,鐎,ㄐㄧㄠ,jiāo
05643,鷦,ㄐㄧㄠ,jiāo
05644,澆,ㄐㄧㄠ,jiāo
05645,膠,ㄐㄧㄠ,jiāo
05646,徼,(二)ㄐㄧㄠ,(二)jiāo
05647,嚼,(二)ㄐㄧㄠˊ,(二)jiáo
05648,角,(一)ㄐㄧㄠˇ,(一)jiǎo
05649,佼,ㄐㄧㄠˇ,jiǎo
05650,狡,ㄐㄧㄠˇ,jiǎo
05651,姣,(一)ㄐㄧㄠˇ,(一)jiǎo
05652,皎,ㄐㄧㄠˇ,jiǎo
05653,筊,ㄐㄧㄠˇ,jiǎo
05654,絞,ㄐㄧㄠˇ,jiǎo
05655,較,(二)（又音）ㄐㄧㄠˇ,(二)（又音）jiǎo
05656,鉸,ㄐㄧㄠˇ,jiǎo
05657,餃,ㄐㄧㄠˇ,jiǎo
05658,湫,ㄐㄧㄠˇ,jiǎo
05659,腳,(一)（語音）ㄐㄧㄠˇ,(一)（語音）jiǎo
05660,剿,ㄐㄧㄠˇ,jiǎo
05661,勦,(一)ㄐㄧㄠˇ,(一)jiǎo
05662,僥,(一)ㄐㄧㄠˇ,(一)jiǎo
05663,撟,(一)ㄐㄧㄠˇ,(一)jiǎo
05664,矯,ㄐㄧㄠˇ,jiǎo
05665,蹻,(二)ㄐㄧㄠˇ,(二)jiǎo
05666,儌,ㄐㄧㄠˇ,jiǎo
05667,徼,(三)ㄐㄧㄠˇ,(三)jiǎo
05668,皦,ㄐㄧㄠˇ,jiǎo
05669,繳,(一)ㄐㄧㄠˇ,(一)jiǎo
05670,攪,(一)ㄐㄧㄠˇ,(一)jiǎo
05671,叫,ㄐㄧㄠˋ,jiào
05672,珓,ㄐㄧㄠˋ,jiào
05673,校,(二)ㄐㄧㄠˋ,(二)jiào
05674,較,(一)ㄐㄧㄠˋ,(一)jiào
05675,教,(一)ㄐㄧㄠˋ,(一)jiào
05676,酵,(二)（又音）ㄐㄧㄠˋ,(二)（又音）jiào
05677,窖,ㄐㄧㄠˋ,jiào
05678,敫,ㄐㄧㄠˋ,jiào
05679,噭,ㄐㄧㄠˋ,jiào
05680,徼,(一)ㄐㄧㄠˋ,(一)jiào
05681,斠,ㄐㄧㄠˋ,jiào
05682,撟,(二)ㄐㄧㄠˋ,(二)jiào
05683,嶠,ㄐㄧㄠˋ,jiào
05684,轎,ㄐㄧㄠˋ,jiào
05685,噍,(一)ㄐㄧㄠˋ,(一)jiào
05686,醮,ㄐㄧㄠˋ,jiào
05687,灂,(二)ㄐㄧㄠˋ,(二)jiào
05688,嚼,(三)ㄐㄧㄠˋ,(三)jiào
05689,皭,ㄐㄧㄠˋ,jiào
05690,釂,ㄐㄧㄠˋ,jiào
05691,覺,(二)ㄐㄧㄠˋ,(二)jiào
05692,丩,ㄐㄧㄡ,jiū
05693,朻,ㄐㄧㄡ,jiū
05694,糾,(一)ㄐㄧㄡ,(一)jiū
05695,赳,(一)ㄐㄧㄡ,(一)jiū
05696,究,(二)（又音）ㄐㄧㄡ,(二)（又音）jiū
05697,鳩,ㄐㄧㄡ,jiū
05698,揪,ㄐㄧㄡ,jiū
05699,啾,ㄐㄧㄡ,jiū
05700,揫,ㄐㄧㄡ,jiū
05701,摎,ㄐㄧㄡ,jiū
05702,樛,ㄐㄧㄡ,jiū
05703,轇,ㄐㄧㄡ,jiū
05704,蝤,(二)ㄐㄧㄡ,(二)jiū
05705,鬮,ㄐㄧㄡ,jiū
05706,九,ㄐㄧㄡˇ,jiǔ
05707,久,ㄐㄧㄡˇ,jiǔ
05708,玖,ㄐㄧㄡˇ,jiǔ
05709,灸,ㄐㄧㄡˇ,jiǔ
05710,糾,(二)（又音）ㄐㄧㄡˇ,(二)（又音）jiǔ
05711,赳,(二)（又音）ㄐㄧㄡˇ,(二)（又音）jiǔ
05712,韭,ㄐㄧㄡˇ,jiǔ
05713,酒,ㄐㄧㄡˇ,jiǔ
05714,愀,(二)（又音）ㄐㄧㄡˇ,(二)（又音）jiǔ
05715,臼,ㄐㄧㄡˋ,jiù
05716,舅,ㄐㄧㄡˋ,jiù
05717,舊,ㄐㄧㄡˋ,jiù
05718,究,(一)ㄐㄧㄡˋ,(一)jiù
05719,疚,ㄐㄧㄡˋ,jiù
05720,柩,ㄐㄧㄡˋ,jiù
05721,咎,(一)ㄐㄧㄡˋ,(一)jiù
05722,捄,ㄐㄧㄡˋ,jiù
05723,救,ㄐㄧㄡˋ,jiù
05724,就,ㄐㄧㄡˋ,jiù
05725,僦,ㄐㄧㄡˋ,jiù
05726,鷲,ㄐㄧㄡˋ,jiù
05727,廄,ㄐㄧㄡˋ,jiù
05728,幵,ㄐㄧㄢ,jiān
05729,奸,ㄐㄧㄢ,jiān
05730,豜,ㄐㄧㄢ,jiān
05731,鈃,(二)ㄐㄧㄢ,(二)jiān
05732,尖,ㄐㄧㄢ,jiān
05733,戔,ㄐㄧㄢ,jiān
05734,淺,(二)ㄐㄧㄢ,(二)jiān
05735,牋,ㄐㄧㄢ,jiān
05736,箋,ㄐㄧㄢ,jiān
05737,籛,ㄐㄧㄢ,jiān
05738,肩,ㄐㄧㄢ,jiān
05739,姦,ㄐㄧㄢ,jiān
05740,兼,ㄐㄧㄢ,jiān
05741,搛,ㄐㄧㄢ,jiān
05742,蒹,ㄐㄧㄢ,jiān
05743,縑,ㄐㄧㄢ,jiān
05744,鶼,ㄐㄧㄢ,jiān
05745,鰜,ㄐㄧㄢ,jiān
05746,堅,ㄐㄧㄢ,jiān
05747,鰹,ㄐㄧㄢ,jiān
05748,湔,ㄐㄧㄢ,jiān
05749,煎,ㄐㄧㄢ,jiān
05750,鬋,ㄐㄧㄢ,jiān
05751,菅,ㄐㄧㄢ,jiān
05752,間,(一)ㄐㄧㄢ,(一)jiān
05753,閒,(二)ㄐㄧㄢ,(二)jiān
05754,蕑,ㄐㄧㄢ,jiān
05755,椷,ㄐㄧㄢ,jiān
05756,緘,ㄐㄧㄢ,jiān
05757,犍,(一)ㄐㄧㄢ,(一)jiān
05758,鞬,ㄐㄧㄢ,jiān
05759,漸,(二)ㄐㄧㄢ,(二)jiān
05760,蔪,(三)ㄐㄧㄢ,(三)jiān
05761,監,(一)ㄐㄧㄢ,(一)jiān
05762,尷,(二)（又音）ㄐㄧㄢ,(二)（又音）jiān
05763,礛,(一)ㄐㄧㄢ,(一)jiān
05764,熸,ㄐㄧㄢ,jiān
05765,艱,ㄐㄧㄢ,jiān
05766,瀸,ㄐㄧㄢ,jiān
05767,櫼,ㄐㄧㄢ,jiān
05768,殲,ㄐㄧㄢ,jiān
05769,鑯,ㄐㄧㄢ,jiān
05770,韉,ㄐㄧㄢ,jiān
05771,囝,(一)ㄐㄧㄢˇ,(一)jiǎn
05772,柬,ㄐㄧㄢˇ,jiǎn
05773,揀,ㄐㄧㄢˇ,jiǎn
05774,剪,ㄐㄧㄢˇ,jiǎn
05775,揃,ㄐㄧㄢˇ,jiǎn
05776,翦,ㄐㄧㄢˇ,jiǎn
05777,譾,ㄐㄧㄢˇ,jiǎn
05778,趼,(一)ㄐㄧㄢˇ,(一)jiǎn
05779,帴,(一)ㄐㄧㄢˇ,(一)jiǎn
05780,錢,(二)ㄐㄧㄢˇ,(二)jiǎn
05781,減,ㄐㄧㄢˇ,jiǎn
05782,筧,ㄐㄧㄢˇ,jiǎn
05783,戩,ㄐㄧㄢˇ,jiǎn
05784,儉,(一)ㄐㄧㄢˇ,(一)jiǎn
05785,撿,ㄐㄧㄢˇ,jiǎn
05786,檢,ㄐㄧㄢˇ,jiǎn
05787,瞼,ㄐㄧㄢˇ,jiǎn
05788,鹼,ㄐㄧㄢˇ,jiǎn
05789,謇,ㄐㄧㄢˇ,jiǎn
05790,蹇,ㄐㄧㄢˇ,jiǎn
05791,騫,(二)ㄐㄧㄢˇ,(二)jiǎn
05792,襉,(一)ㄐㄧㄢˇ,(一)jiǎn
05793,簡,ㄐㄧㄢˇ,jiǎn
05794,繭,ㄐㄧㄢˇ,jiǎn
05795,件,ㄐㄧㄢˋ,jiàn
05796,牮,ㄐㄧㄢˋ,jiàn
05797,見,(一)ㄐㄧㄢˋ,(一)jiàn
05798,洊,ㄐㄧㄢˋ,jiàn
05799,荐,ㄐㄧㄢˋ,jiàn
05800,建,ㄐㄧㄢˋ,jiàn
05801,健,ㄐㄧㄢˋ,jiàn
05802,揵,(二)ㄐㄧㄢˋ,(二)jiàn
05803,毽,ㄐㄧㄢˋ,jiàn
05804,腱,ㄐㄧㄢˋ,jiàn
05805,鍵,ㄐㄧㄢˋ,jiàn
05806,俴,ㄐㄧㄢˋ,jiàn
05807,諓,ㄐㄧㄢˋ,jiàn
05808,賤,ㄐㄧㄢˋ,jiàn
05809,踐,ㄐㄧㄢˋ,jiàn
05810,餞,ㄐㄧㄢˋ,jiàn
05811,濺,ㄐㄧㄢˋ,jiàn
05812,間,(二)ㄐㄧㄢˋ,(二)jiàn
05813,閒,(三)ㄐㄧㄢˋ,(三)jiàn
05814,澗,ㄐㄧㄢˋ,jiàn
05815,瞷,ㄐㄧㄢˋ,jiàn
05816,襉,(二)（又音）ㄐㄧㄢˋ,(二)（又音）jiàn
05817,鐧,ㄐㄧㄢˋ,jiàn
05818,漸,(一)ㄐㄧㄢˋ,(一)jiàn
05819,蔪,(一)ㄐㄧㄢˋ,(一)jiàn
05820,螹,(一)ㄐㄧㄢˋ,(一)jiàn
05821,監,(二)ㄐㄧㄢˋ,(二)jiàn
05822,檻,(一)ㄐㄧㄢˋ,(一)jiàn
05823,艦,ㄐㄧㄢˋ,jiàn
05824,鑒,ㄐㄧㄢˋ,jiàn
05825,鑑,ㄐㄧㄢˋ,jiàn
05826,箭,ㄐㄧㄢˋ,jiàn
05827,僭,ㄐㄧㄢˋ,jiàn
05828,儉,(二)（又音）ㄐㄧㄢˋ,(二)（又音）jiàn
05829,劍,ㄐㄧㄢˋ,jiàn
05830,諫,ㄐㄧㄢˋ,jiàn
05831,薦,ㄐㄧㄢˋ,jiàn
05832,巾,ㄐㄧㄣ,jīn
05833,今,ㄐㄧㄣ,jīn
05834,矜,(一)ㄐㄧㄣ,(一)jīn
05835,衿,ㄐㄧㄣ,jīn
05836,紟,ㄐㄧㄣ,jīn
05837,斤,ㄐㄧㄣ,jīn
05838,金,ㄐㄧㄣ,jīn
05839,津,ㄐㄧㄣ,jīn
05840,觔,ㄐㄧㄣ,jīn
05841,筋,ㄐㄧㄣ,jīn
05842,浸,(二)（又音）ㄐㄧㄣ,(二)（又音）jīn
05843,祲,ㄐㄧㄣ,jīn
05844,禁,(二)ㄐㄧㄣ,(二)jīn
05845,襟,ㄐㄧㄣ,jīn
05846,巹,ㄐㄧㄣˇ,jǐn
05847,堇,(一)ㄐㄧㄣˇ,(一)jǐn
05848,菫,ㄐㄧㄣˇ,jǐn
05849,僅,(一)ㄐㄧㄣˇ,(一)jǐn
05850,廑,(一)ㄐㄧㄣˇ,(一)jǐn
05851,墐,(一)ㄐㄧㄣˇ,(一)jǐn
05852,瑾,(一)ㄐㄧㄣˇ,(一)jǐn
05852A,蓳,ㄐㄧㄣˇ,jǐn
05853,槿,ㄐㄧㄣˇ,jǐn
05854,殣,(一)ㄐㄧㄣˇ,(一)jǐn
05855,謹,ㄐㄧㄣˇ,jǐn
05856,覲,(一)ㄐㄧㄣˇ,(一)jǐn
05857,饉,(一)ㄐㄧㄣˇ,(一)jǐn
05858,緊,ㄐㄧㄣˇ,jǐn
05859,儘,ㄐㄧㄣˇ,jǐn
05860,錦,ㄐㄧㄣˇ,jǐn
05861,妗,ㄐㄧㄣˋ,jìn
05862,近,ㄐㄧㄣˋ,jìn
05863,勁,(二)ㄐㄧㄣˋ,(二)jìn
05864,浸,(一)ㄐㄧㄣˋ,(一)jìn
05865,寖,ㄐㄧㄣˋ,jìn
05866,晉,ㄐㄧㄣˋ,jìn
05867,搢,ㄐㄧㄣˋ,jìn
05868,鄑,(一)ㄐㄧㄣˋ,(一)jìn
05869,縉,ㄐㄧㄣˋ,jìn
05870,堇,(二)（又音）ㄐㄧㄣˋ,(二)（又音）jìn
05871,僅,(二)（又音）ㄐㄧㄣˋ,(二)（又音）jìn
05872,廑,(二)（又音）ㄐㄧㄣˋ,(二)（又音）jìn
05873,墐,(二)（又音）ㄐㄧㄣˋ,(二)（又音）jìn
05874,瑾,(二)（又音）ㄐㄧㄣˋ,(二)（又音）jìn
05875,殣,(二)（又音）ㄐㄧㄣˋ,(二)（又音）jìn
05876,覲,(二)（又音）ㄐㄧㄣˋ,(二)（又音）jìn
05877,饉,(二)（又音）ㄐㄧㄣˋ,(二)（又音）jìn
05878,進,ㄐㄧㄣˋ,jìn
05879,靳,ㄐㄧㄣˋ,jìn
05880,禁,(一)ㄐㄧㄣˋ,(一)jìn
05881,噤,ㄐㄧㄣˋ,jìn
05882,盡,ㄐㄧㄣˋ,jìn
05883,濜,ㄐㄧㄣˋ,jìn
05884,燼,ㄐㄧㄣˋ,jìn
05885,藎,ㄐㄧㄣˋ,jìn
05886,贐,ㄐㄧㄣˋ,jìn
05887,江,ㄐㄧㄤ,jiāng
05888,矼,(二)ㄐㄧㄤ,(二)jiāng
05889,豇,ㄐㄧㄤ,jiāng
05890,茳,ㄐㄧㄤ,jiāng
05891,姜,ㄐㄧㄤ,jiāng
05892,將,(一)ㄐㄧㄤ,(一)jiāng
05893,漿,ㄐㄧㄤ,jiāng
05894,螿,ㄐㄧㄤ,jiāng
05895,僵,ㄐㄧㄤ,jiāng
05896,橿,ㄐㄧㄤ,jiāng
05897,殭,ㄐㄧㄤ,jiāng
05898,薑,ㄐㄧㄤ,jiāng
05899,礓,ㄐㄧㄤ,jiāng
05900,疆,ㄐㄧㄤ,jiāng
05901,韁,(一)ㄐㄧㄤ,(一)jiāng
05902,蔣,ㄐㄧㄤˇ,jiǎng
05903,槳,ㄐㄧㄤˇ,jiǎng
05904,獎,ㄐㄧㄤˇ,jiǎng
05905,講,ㄐㄧㄤˇ,jiǎng
05906,顜,ㄐㄧㄤˇ,jiǎng
05907,匠,ㄐㄧㄤˋ,jiàng
05908,洚,ㄐㄧㄤˋ,jiàng
05909,降,(一)ㄐㄧㄤˋ,(一)jiàng
05910,絳,ㄐㄧㄤˋ,jiàng
05911,弶,ㄐㄧㄤˋ,jiàng
05912,強,(三)ㄐㄧㄤˋ,(三)jiàng
05913,糨,ㄐㄧㄤˋ,jiàng
05914,將,(二)ㄐㄧㄤˋ,(二)jiàng
05915,醬,ㄐㄧㄤˋ,jiàng
05916,更,(二)ㄐㄧㄥ,(二)jīng
05917,粳,(二)（語音）ㄐㄧㄥ,(二)（語音）jīng
05918,京,(一)ㄐㄧㄥ,(一)jīng
05919,鯨,ㄐㄧㄥ,jīng
05920,青,(二)ㄐㄧㄥ,(二)jīng
05921,菁,ㄐㄧㄥ,jīng
05922,睛,ㄐㄧㄥ,jīng
05923,精,ㄐㄧㄥ,jīng
05924,箐,(一)ㄐㄧㄥ,(一)jīng
05925,鶄,ㄐㄧㄥ,jīng
05926,鼱,ㄐㄧㄥ,jīng
05927,涇,ㄐㄧㄥ,jīng
05928,莖,ㄐㄧㄥ,jīng
05929,經,ㄐㄧㄥ,jīng
05930,荊,ㄐㄧㄥ,jīng
05931,耕,(二)（語音）ㄐㄧㄥ,(二)（語音）jīng
05932,旌,ㄐㄧㄥ,jīng
05933,旍,ㄐㄧㄥ,jīng
05934,晶,ㄐㄧㄥ,jīng
05935,兢,ㄐㄧㄥ,jīng
05936,驚,ㄐㄧㄥ,jīng
05937,井,ㄐㄧㄥˇ,jǐng
05938,阱,ㄐㄧㄥˇ,jǐng
05939,剄,ㄐㄧㄥˇ,jǐng
05940,頸,(一)ㄐㄧㄥˇ,(一)jǐng
05941,景,(一)ㄐㄧㄥˇ,(一)jǐng
05942,憬,ㄐㄧㄥˇ,jǐng
05943,璟,ㄐㄧㄥˇ,jǐng
05944,儆,ㄐㄧㄥˇ,jǐng
05945,警,ㄐㄧㄥˇ,jǐng
05946,肵,(二)（又音）ㄐㄧㄥˋ,(二)（又音）jìng
05947,勁,(一)ㄐㄧㄥˋ,(一)jìng
05948,徑,ㄐㄧㄥˋ,jìng
05949,逕,ㄐㄧㄥˋ,jìng
05950,脛,ㄐㄧㄥˋ,jìng
05951,痙,ㄐㄧㄥˋ,jìng
05952,凊,ㄐㄧㄥˋ,jìng
05953,婧,ㄐㄧㄥˋ,jìng
05954,靖,ㄐㄧㄥˋ,jìng
05955,靚,ㄐㄧㄥˋ,jìng
05956,倞,(二)ㄐㄧㄥˋ,(二)jìng
05957,淨,ㄐㄧㄥˋ,jìng
05958,竫,ㄐㄧㄥˋ,jìng
05959,靜,ㄐㄧㄥˋ,jìng
05960,竟,ㄐㄧㄥˋ,jìng
05961,境,ㄐㄧㄥˋ,jìng
05962,獍,ㄐㄧㄥˋ,jìng
05963,鏡,ㄐㄧㄥˋ,jìng
05964,敬,ㄐㄧㄥˋ,jìng
05965,競,ㄐㄧㄥˋ,jìng
05966,且,(二)ㄐㄩ,(二)jū
05967,沮,(一)ㄐㄩ,(一)jū
05968,狙,ㄐㄩ,jū
05969,苴,(一)ㄐㄩ,(一)jū
05970,砠,ㄐㄩ,jū
05971,疽,ㄐㄩ,jū
05972,罝,ㄐㄩ,jū
05973,蛆,(二)ㄐㄩ,(二)jū
05974,趄,(一)ㄐㄩ,(一)jū
05975,菹,ㄐㄩ,jū
05976,葅,ㄐㄩ,jū
05977,雎,ㄐㄩ,jū
05978,車,(二)（讀音）ㄐㄩ,(二)（讀音）jū
05979,拘,ㄐㄩ,jū
05980,痀,ㄐㄩ,jū
05981,駒,ㄐㄩ,jū
05982,居,(一)ㄐㄩ,(一)jū
05983,据,(一)ㄐㄩ,(一)jū
05984,琚,ㄐㄩ,jū
05985,椐,ㄐㄩ,jū
05986,腒,ㄐㄩ,jū
05987,裾,ㄐㄩ,jū
05988,鋸,(二)ㄐㄩ,(二)jū
05989,鶋,ㄐㄩ,jū
05990,俱,(二)（又音）ㄐㄩ,(二)（又音）jū
05991,&92b9._104_0.gif;,ㄐㄩˊ,jú
05992,局,ㄐㄩˊ,jú
05993,侷,ㄐㄩˊ,jú
05994,挶,ㄐㄩˊ,jú
05995,焗,ㄐㄩˊ,jú
05996,梮,ㄐㄩˊ,jú
05997,跼,ㄐㄩˊ,jú
05998,鋦,ㄐㄩˊ,jú
05999,匊,ㄐㄩˊ,jú
06000,掬,ㄐㄩˊ,jú
06001,椈,ㄐㄩˊ,jú
06002,菊,ㄐㄩˊ,jú
06003,踘,ㄐㄩˊ,jú
06004,鞠,ㄐㄩˊ,jú
06005,桔,(二)ㄐㄩˊ,(二)jú
06006,湨,ㄐㄩˊ,jú
06007,鶪,ㄐㄩˊ,jú
06008,輂,ㄐㄩˊ,jú
06009,鴃,(二)（又音）ㄐㄩˊ,(二)（又音）jú
06010,橘,ㄐㄩˊ,jú
06011,鞫,ㄐㄩˊ,jú
06012,沮,(二)ㄐㄩˇ,(二)jǔ
06013,咀,ㄐㄩˇ,jǔ
06014,苴,(二)ㄐㄩˇ,(二)jǔ
06015,齟,ㄐㄩˇ,jǔ
06016,弆,ㄐㄩˇ,jǔ
06017,柜,(一)ㄐㄩˇ,(一)jǔ
06018,矩,ㄐㄩˇ,jǔ
06019,枸,(二)ㄐㄩˇ,(二)jǔ
06020,竘,ㄐㄩˇ,jǔ
06021,蒟,ㄐㄩˇ,jǔ
06022,莒,ㄐㄩˇ,jǔ
06023,筥,ㄐㄩˇ,jǔ
06024,椇,ㄐㄩˇ,jǔ
06025,萭,(二)ㄐㄩˇ,(二)jǔ
06026,踽,ㄐㄩˇ,jǔ
06027,舉,ㄐㄩˇ,jǔ
06028,櫸,ㄐㄩˇ,jǔ
06029,籧,(二)ㄐㄩˇ,(二)jǔ
06030,巨,ㄐㄩˋ,jù
06031,拒,ㄐㄩˋ,jù
06032,炬,ㄐㄩˋ,jù
06033,苣,ㄐㄩˋ,jù
06034,秬,ㄐㄩˋ,jù
06035,粔,ㄐㄩˋ,jù
06036,蚷,ㄐㄩˋ,jù
06037,詎,ㄐㄩˋ,jù
06038,距,ㄐㄩˋ,jù
06039,鉅,ㄐㄩˋ,jù
06040,駏,ㄐㄩˋ,jù
06041,句,(一)ㄐㄩˋ,(一)jù
06042,足,(二)ㄐㄩˋ,(二)jù
06043,沮,(三)ㄐㄩˋ,(三)jù
06044,怚,ㄐㄩˋ,jù
06045,具,ㄐㄩˋ,jù
06046,俱,(一)ㄐㄩˋ,(一)jù
06047,埧,ㄐㄩˋ,jù
06048,颶,ㄐㄩˋ,jù
06049,冣,(一)ㄐㄩˋ,(一)jù
06050,聚,ㄐㄩˋ,jù
06051,&4020_.png;,ㄐㄩˋ,jù
06052,瞿,(三)ㄐㄩˋ,(三)jù
06053,懼,ㄐㄩˋ,jù
06054,倨,ㄐㄩˋ,jù
06055,踞,ㄐㄩˋ,jù
06056,鋸,(一)ㄐㄩˋ,(一)jù
06057,虡,ㄐㄩˋ,jù
06058,劇,(一)ㄐㄩˋ,(一)jù
06059,懅,ㄐㄩˋ,jù
06060,據,ㄐㄩˋ,jù
06061,遽,ㄐㄩˋ,jù
06062,醵,ㄐㄩˋ,jù
06063,躆,ㄐㄩˋ,jù
06064,鐻,ㄐㄩˋ,jù
06065,窶,(一)ㄐㄩˋ,(一)jù
06066,屨,ㄐㄩˋ,jù
06067,貗,(一)ㄐㄩˋ,(一)jù
06068,嗟,(二)（又音）ㄐㄩㄝ,(二)（又音）juē
06069,撅,ㄐㄩㄝ,juē
06070,噘,ㄐㄩㄝ,juē
06071,撧,ㄐㄩㄝ,juē
06072,亅,ㄐㄩㄝˊ,jué
06073,孓,ㄐㄩㄝˊ,jué
